date,time,home_team,score,away_team,attendance,venue,home_goals,away_goals
1989-07-29,,Eint Frankfurt,3–1,Mannheim,,,3.0,1.0
1989-07-29,,Leverkusen,1–0,Dortmund,,,1.0,0.0
1989-07-29,,Bayern Munich,3–2,Nürnberg,,,3.0,2.0
1989-07-29,,St Pauli,0–0,Werder Bremen,,,0.0,0.0
1989-07-29,,Stuttgart,2–0,Karlsruher,,,2.0,0.0
,,,,,,,,
1989-08-04,,Hamburger SV,1–1,Eint Frankfurt,,,1.0,1.0
1989-08-04,,Dortmund,3–1,St Pauli,,,3.0,1.0
1989-08-05,,Werder Bremen,2–2,Düsseldorf,,,2.0,2.0
1989-08-05,,Nürnberg,2–2,Leverkusen,,,2.0,2.0
1989-08-05,,Homburg,2–2,Kaiserslautern,,,2.0,2.0
1989-08-05,,M'Gladbach,0–0,Bayern Munich,,,0.0,0.0
1989-08-05,,Mannheim,3–2,Bochum,,,3.0,2.0
1989-08-05,,Karlsruher,0–0,Uerdingen,,,0.0,0.0
,,,,,,,,
1989-08-08,,Düsseldorf,1–2,Eint Frankfurt,,,1.0,2.0
,,,,,,,,
1989-08-09,,Köln,0–0,Stuttgart,,,0.0,0.0
,,,,,,,,
1989-08-09,,Bayern Munich,1–0,Homburg,,,1.0,0.0
1989-08-11,,Kaiserslautern,5–1,Karlsruher,,,5.0,1.0
1989-08-12,,Uerdingen,2–3,Köln,,,2.0,3.0
1989-08-12,,Bochum,3–1,Hamburger SV,,,3.0,1.0
1989-08-12,,St Pauli,0–1,Nürnberg,,,0.0,1.0
1989-08-12,,Stuttgart,1–0,Mannheim,,,1.0,0.0
1989-08-12,,Leverkusen,0–0,M'Gladbach,,,0.0,0.0
1989-08-12,,Werder Bremen,2–0,Dortmund,,,2.0,0.0
,,,,,,,,
1989-08-15,,Homburg,2–1,Leverkusen,,,2.0,1.0
1989-08-15,,M'Gladbach,4–1,St Pauli,,,4.0,1.0
1989-08-15,,Mannheim,1–1,Uerdingen,,,1.0,1.0
1989-08-15,,Nürnberg,1–1,Werder Bremen,,,1.0,1.0
1989-08-16,,Karlsruher,3–3,Bayern Munich,,,3.0,3.0
1989-08-16,,Hamburger SV,1–0,Stuttgart,,,1.0,0.0
1989-08-16,,Dortmund,1–0,Düsseldorf,,,1.0,0.0
1989-08-16,,Köln,4–1,Kaiserslautern,,,4.0,1.0
1989-08-16,,Eint Frankfurt,4–0,Bochum,,,4.0,0.0
,,,,,,,,
1989-08-22,,Dortmund,2–1,Nürnberg,,,2.0,1.0
1989-08-22,,Werder Bremen,0–0,M'Gladbach,,,0.0,0.0
1989-08-22,,St Pauli,1–1,Homburg,,,1.0,1.0
1989-08-23,,Kaiserslautern,2–3,Mannheim,,,2.0,3.0
1989-08-23,,Leverkusen,1–1,Karlsruher,,,1.0,1.0
1989-08-23,,Uerdingen,5–2,Hamburger SV,,,5.0,2.0
1989-08-23,,Düsseldorf,2–2,Bochum,,,2.0,2.0
1989-08-23,,Bayern Munich,5–1,Köln,,,5.0,1.0
1989-08-23,,Stuttgart,1–1,Eint Frankfurt,,,1.0,1.0
,,,,,,,,
1989-08-26,,Homburg,1–1,Werder Bremen,,,1.0,1.0
1989-08-26,,Nürnberg,3–0,Düsseldorf,,,3.0,0.0
1989-08-26,,Mannheim,1–0,Bayern Munich,,,1.0,0.0
1989-08-26,,M'Gladbach,0–0,Dortmund,,,0.0,0.0
1989-08-26,,Köln,1–1,Leverkusen,,,1.0,1.0
1989-08-26,,Hamburger SV,3–0,Kaiserslautern,,,3.0,0.0
1989-08-26,,Karlsruher,0–0,St Pauli,,,0.0,0.0
1989-08-26,,Eint Frankfurt,2–1,Uerdingen,,,2.0,1.0
1989-08-26,,Bochum,2–0,Stuttgart,,,2.0,0.0
,,,,,,,,
1989-08-31,,Bayern Munich,4–0,Hamburger SV,,,4.0,0.0
1989-09-01,,Uerdingen,3–1,Bochum,,,3.0,1.0
1989-09-01,,Werder Bremen,4–0,Karlsruher,,,4.0,0.0
1989-09-02,,Kaiserslautern,2–1,Eint Frankfurt,,,2.0,1.0
